Name	MOA	Target	Disease Area	Indication	Phase
acamprosate	glutamate receptor antagonist	GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B, GRM5	neurology/psychiatry	abstinence from alcohol	Launched
acarbose	glucosidase inhibitor	AMY2A, MGAM	endocrinology	diabetes mellitus	Launched
ACDPP	glutamate receptor antagonist	GRM5			Preclinical
acebilustat	leukotriene inhibitor				Phase 2
acebutolol	adrenergic receptor antagonist	ADRB1	cardiology	hypertension, ventricular arrhythmias	Launched
acecainide	polarization inhibitor	SCN5A			Phase 3
aceclidine	acetylcholine receptor agonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	ophthalmology	glaucoma	Launched
aceclofenac	prostanoid receptor antagonist	PTGS2	rheumatology	rheumatoid arthritis, ankylosing spondylitis, osteoarthritis, periarthritis, lumbago, ischiadynia	Launched
acedapsone			infectious disease	leprosy	Launched
acedoben					Phase 2
acefylline	adenosine receptor agonist	ADORA1	pulmonary	asthma	Launched
aceglutamide			gastroenterology	peptic ulcer disease (PUD)	Launched
acelarin	anticancer agent				Phase 2/Phase 3
acemetacin	cyclooxygenase inhibitor	PTGS1, PTGS2	rheumatology	osteoarthritis	Launched
aceneuramic-acid		CES1, SELE, SELP			Phase 3
acenocoumarol	vitamin K antagonist	VKORC1	hematology	deep vein thrombosis (DVT)	Launched
acepromazine	dopamine receptor antagonist	ADRA1A, ADRA1B, DRD1, DRD2, HTR1A, HTR2A	neurology/psychiatry	sedative	Launched
acesulfame-potassium					Phase 3
acetanilide	hydrogen peroxide decomposition inhibitor				Preclinical
acetarsol			gastroenterology	diarrhea	Launched
acetazolamide	carbonic anhydrase inhibitor	AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7	ophthalmology	glaucoma	Launched
acetohexamide	ATP channel blocker	ABCC8, KCNJ1, KCNJ10, KCNJ11	endocrinology	diabetes mellitus	Launched
acetohydroxamic-acid	urease inhibitor	MMP12	infectious disease	urinary tract infections	Launched
acetophenazine	dopamine receptor antagonist	DRD1, DRD2	neurology/psychiatry	psychosis	Launched
acetriazoic-acid					Preclinical
acetyl-farnesyl-cysteine	methyltransferase inhibitor	PPARG	dermatology	acne vulgaris (AV)	Launched
acetyl-l-leucine			neurology/psychiatry	vertigo	Launched
acetyl-11-keto-beta-boswellic-acid	lipoxygenase inhibitor	HSD11B1, HSD11B2			Phase 2
acetylcholine	acetylcholine receptor agonist	ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2	neurology/psychiatry, gastroenterology, pulmonary	drowsiness, fatigue, headache, indigestion, chest congestion	Launched
acetylcysteine	mucolytic agent	ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11	gastroenterology	acetaminophen overdose, hepatic injury	Launched
acetylsalicylsalicylic-acid	cyclooxygenase inhibitor				Preclinical
acetylspiramycin	other antibiotic				Preclinical
acexamic-acid	5 alpha reductase inhibitor	GAST	dermatology	wound healing	Launched
acifran	cholesterol inhibitor	HCAR2, HCAR3			Phase 3
acipimox	cholesterol inhibitor	HCAR2	endocrinology	hyperlipidemia	Launched
acitazanolast	mediator release inhibitor		allergy	allergic rhinitis	Launched
acitretin	retinoid receptor agonist	RARA, RARB, RARG, RBP1, RXRA, RXRB, RXRG, STAT3	dermatology	psoriasis	Launched
acivicin	gamma glutamyltransferase inhibitor	CTPS1			Phase 2
aclarubicin	topoisomerase inhibitor	TOP1, TOP2A	hematologic malignancy	acute myeloid leukemia (AML)	Launched
aclidinium	acetylcholine receptor antagonist	CHRM1, CHRM2, CHRM3, CHRM4, CHRM5	pulmonary	bronchitis, emphysema, chronic obstructive pulmonary disease (COPD)	Launched
acolbifene	estrogen receptor antagonist				Phase 3
acoziborole	antitrypanosomal				Preclinical
ACPC	glutamate receptor antagonist				Phase 1
acriflavine	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection	Launched
acriflavinium	hypoxia inducible factor inhibitor	HIF1A	infectious disease	fungal infection	Launched
acrisorcin	other antifungal		infectious disease	fungal infection	Launched
acrivastine	histamine receptor antagonist	HRH1	allergy	allergic rhinitis	Launched
acrylate	mucus protecting agent				Phase 3
ACT-132577	endothelin receptor antagonist	EDNRA, EDNRB	pulmonary	pulmonary arterial hypertension (PAH)	Launched
ACT-462206	orexin receptor antagonist	HCRTR1, HCRTR2			Phase 1
actarit	interleukin receptor agonist		rheumatology	rheumatoid arthritis	Launched
ACTB-1003	FGFR inhibitor, VEGFR inhibitor	KDR, TEK			Phase 1
actinomycin-d	RNA polymerase inhibitor		oncology	Wilm's tumor, Ewing's sarcoma, rhabdomyosarcoma, testicular carcinoma	Launched
actinoquinol					Preclinical
acumapimod	p38 MAPK inhibitor				Phase 1
ACY-1215	HDAC inhibitor	HDAC1, HDAC2, HDAC3, HDAC6, HDAC8			Phase 1/Phase 2
acyclovir	DNA polymerase inhibitor	PNP	infectious disease	genitial herpes, shingles, chicken pox	Launched
AC1NDSS5					Phase 1
AC260584	cholinergic receptor agonist				Preclinical
AD-5467	aldose reductase inhibitor	AKR1B1			Phase 2
adapalene	retinoid receptor agonist	RARA, RARB, RARG, RXRA, RXRB, RXRG	dermatology	acne vulgaris (AV)	Launched
adaprev	TGF beta receptor inhibitor	AKR1B1, GPI, HK1, M6PR, PYGM			Phase 3
adaptavir	CC chemokine receptor antagonist	CCR5			Phase 2
adarotene	retinoid receptor agonist	RARB, RARG			Phase 1
adatanserin	serotonin receptor agonist, serotonin receptor antagonist	HTR1A, HTR2A			Phase 2
adavivint	WNT pathway inhibitor				Phase 1
ADD-233089	benzodiazepine receptor agonist				Phase 1
adefovir	DNA polymerase inhibitor		infectious disease	hepatitis B	Launched
adefovir-dipivoxil	DNA polymerase inhibitor		infectious disease	hepatitis B	Launched
adelmidrol	anti-inflammatory agent		dermatology	dermatitis	Launched
ademetionine	methyltransferase stimulant, phosphodiesterase inhibitor		neurology/psychiatry	depression, attention-deficit/hyperactivity disorder (ADHD)	Launched
adenine	protein synthesis stimulant	ACACB, ACP1, APRT, MTAP, PECR, SRPK2			Preclinical
adenosine	adenosine receptor agonist	ADORA1, ADORA2A, ADORA2B, ADORA3, PI4K2A, PI4K2B, TRPM4	cardiology	Wolff-Parkinson-White Syndrome (WPW)	Launched
adenosine-phosphate	adenosine receptor agonist	ACSL1, ACSS1, ACSS2, ADCY1, ADK, CREB1, FBP1, HINT1, PDE4B, PDE4D, PIM1, PRKAA1, PRKAB1, PRKAB2, PYGL, TRPM4			Launched
adenosine-triphosphate	adenosine receptor agonist	ABCA1, ABCB1, ABCB11, ABCC2, ABCC8, ABCC9, ABCG1, ABL1, ABL2, ACSL1, ACSS1, ACSS2, ACVR1, ACVR1B, ACVRL1, ADCY1, ADRBK1, ADRBK2, AFG3L2, AKT1, ALK, AMHR2, APAF1, ARAF, ASNA1, ASNS, ASS1, CDK15, GPR17, ITPR1, NAE1, NT5C2, P2RY1, P2RY11, P2RY13, P2RY2, P2RY4, PRKAA1, RYR1, RYR2, RYR3, SLC25A4, TNK2, TRPM4, TRPM7			Phase 2
adiphenine	acetylcholine receptor antagonist	CHRNA1	neurology/psychiatry	spasms	Launched
adipic-acid	solute carrier family member inhibitor	SLC22A6			Preclinical
adiporon	adiponectin receptor agonist	ADIPOR1, ADIPOR2			Preclinical
ADL5859	opioid receptor agonist	OPRD1			Phase 2
adomeglivant	glucagon receptor antagonist				Preclinical
adoprazine	dopamine receptor antagonist, serotonin receptor agonist	DRD2, HTR1A			Phase 2
adrafinil	adrenergic receptor agonist		neurology/psychiatry	fatigue	Launched
adrenalone	adrenergic receptor agonist	ADRA1A	hematology	hemorrhage	Launched
adrenosterone	11-beta hydroxysteroid dehydrogenase inhibitor	HSD11B1, HSD11B2			Preclinical
ADX-10059	glutamate receptor negative allosteric modulator	GRM5			Phase 2
ADX-47273	glutamate receptor modulator	GRM5			Preclinical
AEE788	EGFR inhibitor, VEGFR inhibitor	EGFR, ERBB2, ERBB4, FGFR2, FGFR3, KDR			Phase 1/Phase 2
AEG3482	HSP inducer				Preclinical
afalanine	dopamine receptor agonist	DRD2			Phase 3
afamelanotide	melanocyte-stimulating hormone mimetic				Launched
afatinib	EGFR inhibitor	EGFR, ERBB2, ERBB4	oncology	non-small cell lung cancer (NSCLC)	Launched
afimoxifene	estrogen receptor antagonist	ESR1, ESR2, ESRRG, PLD1, PRKCD, PRKCE, PRKCQ, PRKCZ			Phase 2
afloqualone	acetylcholine receptor antagonist		neurology/psychiatry	sedative	Launched
AFN-1252	FABI inhibitor				Phase 2
afobazole	anxiolytic		neurology/psychiatry	anxiety	Launched
AF38469	sortilin inhibitor	SORT1			Preclinical
AG-1024	insulin growth factor receptor inhibitor	IGF1R			Preclinical
AG-14361	PARP inhibitor	PARP1			Preclinical
AG-490	EGFR inhibitor, JAK inhibitor	EGFR, JAK2, JAK3			Preclinical
AG-555	tyrosine kinase inhibitor	CDK2			Preclinical
AG-556	tyrosine kinase inhibitor				Preclinical
AGI-5198	isocitrate dehydrogenase inhibitor	IDH1			Preclinical
AGI-6780	isocitrate dehydrogenase inhibitor	IDH2			Preclinical
AGM-1470	cell cycle inhibitor	METAP2			Phase 2
agmatine	nitric oxide synthase inhibitor	ADRA2C, ASIC3, CACNA1B, CHRNA1, GRIN1, KCNJ1, NISCH			Phase 3
AGN-192403	imidazoline receptor ligand	NISCH			Preclinical
AGN-194310	retinoid receptor antagonist	RXRA, RXRB, RXRG			Phase 3
AGN-195183	retinoid receptor agonist	RARA			Phase 1/Phase 2
agomelatine	melatonin receptor agonist, serotonin receptor antagonist	HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B	neurology/psychiatry	depression	Launched
AGP-103	membrane permeability inhibitor				Launched
AH-7614	free fatty acid receptor antagonist	FFAR4			Preclinical
AH11110	adrenergic receptor ligand	ADRA1B			Preclinical
AH6809	prostanoid receptor antagonist	PTGDR, PTGER1, PTGER2, PTGER3			Preclinical
AI-10-49	core binding factor inhibitor	CBFB			Preclinical
AIM-100	tyrosine kinase inhibitor	TNK2			Preclinical
ajmaline	sodium channel blocker		cardiology	Wolff-Parkinson-White Syndrome (WPW)	Launched
AJ76-(+)	dopamine receptor antagonist	DRD2, DRD3, DRD4			Preclinical
AK-7	SIRT inhibitor	SIRT2			Preclinical
AKBA	lipoxygenase inhibitor	ALOX5			Phase 3
aklomide			infectious disease	coccidiosis	Launched
AL-8697	p38 MAPK inhibitor	MAPK14			Preclinical
alacepril	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension	Launched
alafosfalin	bacterial cell wall synthesis inhibitor				Phase 1
alagebrium	glycosylation inhibitor				Phase 2/Phase 3
alanine					Launched
alanosine	antimetabolite				Phase 2
alantolactone	apoptosis stimulant, STAT inhibitor	STAT3			Preclinical
alaproclate	serotonin receptor antagonist	SLC6A4			Phase 2
alarelin	gonadotropin releasing factor hormone receptor antagonist	GNRH1			Launched
albendazole	tubulin polymerization inhibitor	TUBA1A, TUBB, TUBB4B	infectious disease	cystic hydatid disease, parenchymal neurocysticercosis	Launched
albendazole-oxide	anthelmintic agent		infectious disease	cystic hydatid disease, parenchymal neurocysticercosis	Launched
albuterol	adrenergic receptor agonist	ADRB2	pulmonary	asthma	Launched
alcaftadine	histamine receptor antagonist	HRH1	allergy	allergic conjunctivitis	Launched
alclofenac	cyclooxygenase inhibitor	PTGS1	rheumatology	rheumatoid arthritis	Launched
alclometasone-dipropionate	glucocorticoid receptor agonist	CYP3A4, NR3C1, SERPINA6	dermatology	corticosteroid-responsive dermatoses	Launched
alcuronium	muscle relaxant	CHRM1, CHRM2, CHRM3, CHRM4, CHRNA7	neurology/psychiatry	muscle relaxant	Launched
alda-1	aldehyde dehydrogenase activator	ALDH2			Preclinical
aldoxorubicin	topoisomerase inhibitor	TOP2A			Phase 3
alectinib	ALK tyrosine kinase receptor inhibitor	ALK, MET	oncology	non-small cell lung cancer (NSCLC)	Launched
alendronate	bone resorption inhibitor	ATP6V1A, FDPS, PTPN4, PTPRE, PTPRS	orthopedics	osteoporosis	Launched
alexidine	phosphatidylglycerophosphatase inhibitor	PTPMT1			Preclinical
alfacalcidol	vitamin D receptor agonist	CYP27B1, VDR	endocrinology	vitamin D deficiency	Launched
alfadolone-acetate	benzodiazepine receptor agonist				Phase 2
alfuzosin	adrenergic receptor antagonist	ADRA1A, ADRA1B, ADRA1D, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A	urology	benign prostatic hyperplasia (BPH)	Launched
algestone-acetophenide			endocrinology	contraceptive	Launched
alibendol	antispasmodic		gastroenterology	bile stimulation	Launched
alimemazine	histamine receptor agonist, histamine receptor antagonist	HRH1	neurology/psychiatry, allergy, pulmonary	sedative, urticaria, itching, cough suppressant	Launched
alinidine	bradycardic effect 				Phase 3
alisertib	Aurora kinase inhibitor	AURKA			Phase 3
aliskiren-hemifumarate	renin inhibitor	REN	cardiology	hypertension	Launched
alisporivir	cyclophilin inhibitor				Phase 3
alizapride	dopamine receptor antagonist		gastroenterology	nausea	Launched
alizarin					Preclinical
allantoin	cosmetic		dermatology	skin protectant	Launched
allicin	cytokine production inhibitor	TRPA1, TRPV1			Phase 2
allopurinol	xanthine oxidase inhibitor	XDH	rheumatology, urology	gout, kidney stones	Launched
allopurinol-riboside	anti-leishmanial agent, phosphorylase inhibitor				Phase 2
allylestrenol	steroidal progestin	ESR1, PGR, SLC6A9	obstetrics/gynecology	premature labor	Launched
allylisothiocyanate	TRPV agonist	TRPA1			Preclinical
allylthiourea	nitrification inhibitor				Preclinical
almitrine	neurotransmitter agonist	ATP1A1	pulmonary	chronic obstructive pulmonary disease (COPD)	Launched
almorexant	orexin receptor antagonist	HCRTR1, HCRTR2			Phase 3
almotriptan	serotonin receptor agonist	HTR1B, HTR1D	neurology/psychiatry	migraine headache	Launched
aloe-emodin	anticancer agent	CASP8			Preclinical
alogliptin	dipeptidyl peptidase inhibitor	DPP4	endocrinology	diabetes mellitus	Launched
aloin	angiogenesis inhibitor				Preclinical
aloperine					Preclinical
alosetron	serotonin receptor antagonist	HTR3A			Withdrawn
alovudine	DNA synthesis marker				Phase 2
aloxistatin	protease inhibitor	CTSG			Phase 3
alpelisib	PI3K inhibitor	PIK3CA, PIK3CB, PIK3CD, PIK3CG	oncology	breast cancer	Launched
alpha-asarone	cytochrome P450 inhibitor, HMGCR inhibitor	HMGCR			Preclinical
alpha-D-glucopyranose					Preclinical
alpha-glucosyl-hesperidin	antioxidant				Preclinical
alpha-linolenic-acid	omega 3 fatty acid stimulant	ELOVL4, FADS1, FADS2, FFAR1, FFAR4, PTGS2, SLC8A1, TRPV1			Phase 3
alpha-methylhistamine-dihydrobromide-(R)-(-)	histamine receptor agonist	HRH3			Preclinical
alpha-methylhistamine-dihydrobromide-(S)-(+)	histamine receptor agonist	HRH3			Preclinical
alpha-methylserotonin	serotonin receptor agonist	HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR4			Preclinical
alpha-tochopherol	antioxidant		endocrinology	vitamin E deficiency	Launched
alpha-tochopheryl-acetate	antioxidant		endocrinology	vitamin E deficiency	Launched
alpidem	benzodiazepine receptor agonist	GABRA1			Withdrawn
alprenolol	adrenergic receptor antagonist	ADRB1, ADRB2	cardiology	angina pectoris	Launched
alprostadil	prostanoid receptor agonist	CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGER1, PTGER2, PTGER4, PTGIR	cardiology	congenital heart defects	Launched
alrestatin	aldose reductase inhibitor	AKR1B1			Preclinical
ALS-8112					Phase 1
ALS-8176	RNA polymerase inhibitor				Phase 1
altanserin	serotonin receptor antagonist	HTR2A			Phase 2
althiazide	diuretic		cardiology	hypertension	Launched
altinicline	nicotinic receptor agonist	CHRNA4, CHRNB2			Phase 2
altiratinib	MET inhibitor, VEGFR inhibitor	KDR, MET, TEK			Phase 1
altrenogest	progestogen hormone	PGR	endocrinology	estrus	Launched
altretamine	DNA synthesis inhibitor		oncology	ovarian cancer	Launched
alverine	muscle relaxant	HTR1A	gastroenterology	irritable bowel syndrome, diverticular disease	Launched
alvespimycin	HSP inhibitor	HSP90AA1			Phase 2
alvimopan	opioid receptor antagonist	OPRD1, OPRK1, OPRM1	gastroenterology	postoperative ileus	Launched
alvocidib	CDK inhibitor	CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM			Phase 2
ALX-40-4C	CC chemokine receptor antagonist				Preclinical
ALX-5407	glycine transporter inhibitor	SLC6A9			Phase 1
AM-1241	cannabinoid receptor agonist	CNR1, CNR2			Preclinical
AM-24	lipoxygenase inhibitor	ALOX5			Phase 2
AM-251	cannabinoid receptor antagonist	CNR1, GPR18, GPR55			Preclinical
AM-281	cannabinoid receptor antagonist	CNR1, CNR2, GPR55			Preclinical
AM-404	cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist	CNR1, CNR2, FAAH, TRPV1			Preclinical
AM-580	retinoid receptor agonist	RARA			Preclinical
AM-630	cannabinoid receptor antagonist	CNR1, CNR2			Preclinical
AM-92016	potassium channel blocker	GRIN1			Preclinical
amantadine	glutamate receptor antagonist	DRD2, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A	infectious disease, neurology/psychiatry	influenza A virus infection, Parkinson's Disease	Launched
ambazone	DNA damage inducer				Phase 1
ambenonium	cholinesterase inhibitor	ACHE	neurology/psychiatry	myasthenia gravis	Launched
ambrisentan	endothelin receptor antagonist	EDNRA, EDNRB	pulmonary	pulmonary arterial hypertension (PAH)	Launched
ambroxol	sodium channel blocker	CYP3A4	pulmonary	bronchitis	Launched
amcasertib	kinase inhibitor				Phase 2
amcinonide	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses	Launched
AMD-3465	CC chemokine receptor antagonist	CXCR4			Preclinical
amdinocillin	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections, gram-negative bacterial infections	Launched
AMD11070	CC chemokine receptor antagonist	CCR5, CXCR4			Phase 3
ameltolide	anticonvulsant				Preclinical
amenamevir	helicase primase inhibitor				Phase 1
ametantrone	anticancer agent				Preclinical
amezinium	adrenergic receptor agonist	ADRB2	cardiology	hypotension	Launched
amfenac	cyclooxygenase inhibitor	PTGS1, PTGS2	neurology/psychiatry	pain relief	Launched
amflutizole	xanthine oxidase inhibitor	XDH			Phase 2
AMG-PERK-44	PERK inhibitor	EIF2AK4			Preclinical
AMG-176	MCL1 inhibitor				Phase 1
AMG-208	tyrosine kinase inhibitor	MET			Phase 1
AMG-232	MDM inhibitor	MDM2			Phase 2
AMG-319	PI3K inhibitor	PIK3CD			Phase 2
AMG-337	MET inhibitor	MET			Phase 2
AMG-487	CC chemokine receptor antagonist				Phase 2
AMG-487-(+/-)	CC chemokine receptor antagonist	CXCR3			Phase 2
AMG-510	K-Ras inhibitor				Phase 1/Phase 2
AMG-517	TRPV antagonist	TRPV1			Phase 1
AMG-548	MAP kinase inhibitor	MAPK11, MAPK12, MAPK13, MAPK14			Phase 1
AMG-837	free fatty acid receptor agonist	FFAR1			Phase 1
AMG-925	CDK inhibitor, FLT3 inhibitor	CDK4, CDK6, FLT3			Phase 1
AMG-9810	TRPV antagonist	TRPV1			Preclinical
AMG319	PI3K inhibitor	PIK3CD			Phase 2
AMG458	MET inhibitor	MET			Preclinical
AMG900	Aurora kinase inhibitor	AURKA, AURKB, AURKC			Phase 1
AMI-1	protein arginine N-methyltransferase inhibitor	PRMT1			Preclinical
amibegron	adrenergic receptor agonist	ADRB3			Phase 3
amidopyrine	analgesic agent		dermatology	dermatitis herpetiformis (DH)	Launched
amifampridine	potassium channel blocker		neurology/psychiatry	Lambert-Eaton myasthenic syndrome (LEMS)	Launched
amiflamine	monoamine oxidase inhibitor	MAOA, SLC6A2			Phase 1
amifostine	reducing agent	ALPPL2, ENPP1	nephrology	renal toxicity	Launched
amikacin	bacterial 30S ribosomal subunit inhibitor		infectious disease	gram-negative bacterial infections	Launched
amiloride	sodium channel blocker	AOC1, ASIC1, ASIC2, ASIC3, PKD2, PKD2L1, PLAU, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC9A1, TRPC7, TRPV2	cardiology	hypertension, congestive heart failure	Launched
amineptine	dopamine receptor agonist	SLC6A2, SLC6A4			Withdrawn
aminocaproic-acid	plasminogen activator inhibitor	LPA, PLAT, PLG	hematology	fibrinolytic bleeding	Launched
aminoglutethimide	glucocorticoid receptor antagonist	CYP11A1, CYP19A1	endocrinology, oncology	Cushing's syndrome, breast cancer	Launched
aminoguanidine	nitric oxide synthase inhibitor	AKR1B1, NOS2, TIMP3			Phase 3
aminohydroxybutyric-acid			neurology/psychiatry	epilepsy	Launched
aminolevulinic-acid-benzyl-ester					Phase 1
aminomethyltransferase	nitric oxide synthase inhibitor	NOS2			Preclinical
aminopentamide	acetylcholine receptor antagonist	CHRM1	gastroenterology	acute abdominal visceral spasm, hypertrophic gastritis (GHG), nausea	Launched
aminophylline	adenosine receptor antagonist	ADORA1, ADORA2A, ADORA2B, ADORA3, HDAC2, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A	pulmonary	asthma, bronchitis, emphysema	Launched
aminopterin	dihydrofolate reductase inhibitor	DHFR, SLC46A1			Phase 3
aminopurvalanol-a	CDK inhibitor, tyrosine kinase inhibitor	CDK1, CDK2, CDK5			Preclinical
aminosalicylate	cyclooxygenase inhibitor	ALOX5, CHUK, PLA2G2E, PTGS1, PTGS2	gastroenterology	inflammatory bowel disease, ulcerative colitis	Launched
aminothiadiazole	inosine monophosphate dehydrogenase inhibitor	ADORA3, IMPDH1			Phase 2
aminothiazole	cyclin D inhibitor	NOS2			Preclinical
amiodarone	potassium channel blocker	ADRB1, CACNA1H, CACNA2D2, KCNA7, KCNH2	cardiology	ventricular arrhythmias	Launched
amiprilose	CD antagonist				Phase 3
amiselimod	sphingosine 1-phosphate receptor modulator				Phase 2
amisulpride	dopamine receptor antagonist	DRD2	neurology/psychiatry	psychosis, bipolar disorder, schizophrenia	Launched
amitifadine	serotonin transporter (SERT) inhibitor	SLC6A2, SLC6A3, SLC6A4			Phase 3
amitraz	adrenergic receptor agonist	ADRA1A, ADRA2A	infectious disease	generalized demodicosis	Launched
